num,text,timestamp,label,clean_text,tokens,processed_tokens,processed_text,sentiment_polarity
23933298,They make Hurricane Sandy sound like a big deal. I gotta run to the supermarket now to stock up on food. #nojoke,1970-01-01 00:00:00.000041209,1,they make hurricane sandy sound like a big deal i gotta run to the supermarket now to stock up on food,"['they', 'make', 'hurricane', 'sandy', 'sound', 'like', 'a', 'big', 'deal', 'i', 'got', 'ta', 'run', 'to', 'the', 'supermarket', 'now', 'to', 'stock', 'up', 'on', 'food']","['make', 'hurrican', 'sandi', 'sound', 'like', 'big', 'deal', 'got', 'ta', 'run', 'supermarket', 'stock', 'food']",make hurrican sandi sound like big deal got ta run supermarket stock food,0.2
619454798,The kitchen was out of mad food tonight so I told the customers that hurricane sandy delayed our delivery truck to save my ass.,1970-01-01 00:00:00.000041213,1,the kitchen was out of mad food tonight so i told the customers that hurricane sandy delayed our delivery truck to save my ass,"['the', 'kitchen', 'was', 'out', 'of', 'mad', 'food', 'tonight', 'so', 'i', 'told', 'the', 'customers', 'that', 'hurricane', 'sandy', 'delayed', 'our', 'delivery', 'truck', 'to', 'save', 'my', 'ass']","['kitchen', 'mad', 'food', 'tonight', 'told', 'custom', 'hurrican', 'sandi', 'delay', 'deliveri', 'truck', 'save', 'ass']",kitchen mad food tonight told custom hurrican sandi delay deliveri truck save ass,-0.625
885698120,Hundreds if not thousands of people lost their homes and loved ones to hurricane sandy. Kids at southside still complain about their food.,1970-01-01 00:00:00.000041213,1,hundreds if not thousands of people lost their homes and loved ones to hurricane sandy kids at southside still complain about their food,"['hundreds', 'if', 'not', 'thousands', 'of', 'people', 'lost', 'their', 'homes', 'and', 'loved', 'ones', 'to', 'hurricane', 'sandy', 'kids', 'at', 'southside', 'still', 'complain', 'about', 'their', 'food']","['hundr', 'thousand', 'peopl', 'lost', 'home', 'love', 'one', 'hurrican', 'sandi', 'kid', 'southsid', 'still', 'complain', 'food']",hundr thousand peopl lost home love one hurrican sandi kid southsid still complain food,0.5
145900244,"“@_KingDing_ALing: My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.” ",1970-01-01 00:00:00.000041213,1,"my tl right now
the heat

the lakers

hurricane sandy

some bitch begging for a cuddle buddy

 food","['my', 'tl', 'right', 'now', 'the', 'heat', 'the', 'lakers', 'hurricane', 'sandy', 'some', 'bitch', 'begging', 'for', 'a', 'cuddle', 'buddy', 'food']","['tl', 'right', 'heat', 'laker', 'hurrican', 'sandi', 'bitch', 'beg', 'cuddl', 'buddi', 'food']",tl right heat laker hurrican sandi bitch beg cuddl buddi food,0.2857142857142857
477093805,#YouGainMajorPointsIf you go to dollarama while hurricane sandy's having a fit just to get me delicious food @J_kelso21,1970-01-01 00:00:00.000041213,0,you go to dollarama while hurricane sandys having a fit just to get me delicious food,"['you', 'go', 'to', 'dollarama', 'while', 'hurricane', 'sandys', 'having', 'a', 'fit', 'just', 'to', 'get', 'me', 'delicious', 'food']","['go', 'dollarama', 'hurrican', 'sandi', 'fit', 'get', 'delici', 'food']",go dollarama hurrican sandi fit get delici food,0.4
71372194,"$50 in food and $60 in liquor later, we hit the Hurricane Sandy party a day too late #sorryboutit",1970-01-01 00:00:00.000041213,1,in food and  in liquor later we hit the hurricane sandy party a day too late,"['in', 'food', 'and', 'in', 'liquor', 'later', 'we', 'hit', 'the', 'hurricane', 'sandy', 'party', 'a', 'day', 'too', 'late']","['food', 'liquor', 'later', 'hit', 'hurrican', 'sandi', 'parti', 'day', 'late']",food liquor later hit hurrican sandi parti day late,-0.15
261804690,"My TL right now:
-The Heat

-The Lakers

-Hurricane Sandy

-Some bitch begging for a cuddle buddy

-& food.",1970-01-01 00:00:00.000041213,1,"my tl right now
the heat

the lakers

hurricane sandy

some bitch begging for a cuddle buddy

 food","['my', 'tl', 'right', 'now', 'the', 'heat', 'the', 'lakers', 'hurricane', 'sandy', 'some', 'bitch', 'begging', 'for', 'a', 'cuddle', 'buddy', 'food']","['tl', 'right', 'heat', 'laker', 'hurrican', 'sandi', 'bitch', 'beg', 'cuddl', 'buddi', 'food']",tl right heat laker hurrican sandi bitch beg cuddl buddi food,0.2857142857142857
127224530,"Food And Wine Top story: The Ultimate Hurricane Sandy Dining Guide to NYC - Hurrica… http://ny.eater.com/archives/2012/10/the_ultimate_hurricane_sandy_dining_guide_to_nyc.php …, see more http://tweetedtimes.com/The_CityOfRoses/food …",1970-01-01 00:00:00.000041213,1,food and wine top story the ultimate hurricane sandy dining guide to nyc  hurrica   see more,"['food', 'and', 'wine', 'top', 'story', 'the', 'ultimate', 'hurricane', 'sandy', 'dining', 'guide', 'to', 'nyc', 'hurrica', 'see', 'more']","['food', 'wine', 'top', 'stori', 'ultim', 'hurrican', 'sandi', 'dine', 'guid', 'nyc', 'hurrica', 'see']",food wine top stori ultim hurrican sandi dine guid nyc hurrica see,0.5
42301660,junk food + magic mike with hurricane sandy http://instagr.am/p/RbkLi5Lhxi/ ,1970-01-01 00:00:00.000041213,0,junk food  magic mike with hurricane sandy,"['junk', 'food', 'magic', 'mike', 'with', 'hurricane', 'sandy']","['junk', 'food', 'magic', 'mike', 'hurrican', 'sandi']",junk food magic mike hurrican sandi,0.5
147786861,"“@HuffingtonPost: WATCH: Donnie Wahlberg's home gets flooded due to Hurricane Sandy http://huff.to/XV2ZZx ” ""saving some food"" lol. Such a bro",1970-01-01 00:00:00.000041213,1,watch donnie wahlbergs home gets flooded due to hurricane sandy   saving some food lol such a bro,"['watch', 'donnie', 'wahlbergs', 'home', 'gets', 'flooded', 'due', 'to', 'hurricane', 'sandy', 'saving', 'some', 'food', 'lol', 'such', 'a', 'bro']","['watch', 'donni', 'wahlberg', 'home', 'get', 'flood', 'due', 'hurrican', 'sandi', 'save', 'food', 'lol', 'bro']",watch donni wahlberg home get flood due hurrican sandi save food lol bro,0.3375
